Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
3514par23_S115_L003_R2_001_fastq_gz	90.02252410234827	53.0	146.97831139376652	36.36363636363637	641535.0
3514par23_S115_L004_R1_001_fastq_gz	92.19149546999246	53.0	146.89734876050716	36.36363636363637	599116.0
3514par23_S115_L004_R2_001_fastq_gz	89.43994151383038	53.0	146.96458448781203	36.36363636363637	599116.0
3515par23_S116_L001_R1_001_fastq_gz	89.11692543484	55.0	143.79267420968915	36.36363636363637	155287.0
3515par23_S116_L001_R2_001_fastq_gz	86.43865874155595	54.0	143.94394250645578	36.36363636363637	155287.0
3515par23_S116_L002_R1_001_fastq_gz	88.92368360009279	55.0	143.85283883908468	36.36363636363637	146574.0
3515par23_S116_L002_R2_001_fastq_gz	86.21788311706032	55.0	144.00921718722284	36.36363636363637	146574.0
3515par23_S116_L003_R1_001_fastq_gz	89.36821322803554	55.0	143.80776776900296	36.36363636363637	162080.0
3515par23_S116_L003_R2_001_fastq_gz	86.86080947680158	55.0	143.92150789733466	36.36363636363637	162080.0
3515par23_S116_L004_R1_001_fastq_gz	89.05122571309087	55.0	143.74297529987322	36.36363636363637	150647.0
3515par23_S116_L004_R2_001_fastq_gz	86.14708557090417	54.0	143.87859034697007	36.36363636363637	150647.0
3516par23_S117_L001_R1_001_fastq_gz	91.70249069524237	53.0	146.5274094150292	36.36363636363637	526881.0
3516par23_S117_L001_R2_001_fastq_gz	89.11860552952184	52.0	146.57717966675588	36.36363636363637	526881.0
3516par23_S117_L002_R1_001_fastq_gz	91.57598837480316	53.0	146.53678981619785	36.36363636363637	493411.0
3516par23_S117_L002_R2_001_fastq_gz	88.88391219490445	53.0	146.6210258790339	36.36363636363637	493411.0
3516par23_S117_L003_R1_001_fastq_gz	91.85792938076321	53.0	146.5907887317261	36.36363636363637	547981.0
3516par23_S117_L003_R2_001_fastq_gz	89.45857611851505	53.0	146.6416463344532	36.36363636363637	547981.0
3516par23_S117_L004_R1_001_fastq_gz	91.70590265244519	53.0	146.50830203048704	36.36363636363637	504214.0
3516par23_S117_L004_R2_001_fastq_gz	88.94655840575629	53.0	146.57834966898974	36.36363636363637	504214.0
3517par23_S118_L001_R1_001_fastq_gz	91.21209854645053	55.0	144.77784307649566	36.36363636363637	280761.0
3517par23_S118_L001_R2_001_fastq_gz	88.50908780065608	55.0	144.89248506737047	36.36363636363637	280761.0
3517par23_S118_L002_R1_001_fastq_gz	91.14498668091412	55.0	144.8324750764474	36.36363636363637	263907.0
3517par23_S118_L002_R2_001_fastq_gz	88.43304648986197	55.0	144.96088394775433	36.36363636363637	263907.0
3517par23_S118_L003_R1_001_fastq_gz	91.3488985099496	55.0	144.8834045807782	36.36363636363637	292876.0
3517par23_S118_L003_R2_001_fastq_gz	89.13123642770319	55.0	144.9747094333438	36.36363636363637	292876.0
3517par23_S118_L004_R1_001_fastq_gz	91.13188507047252	55.0	144.73771212910904	36.36363636363637	270531.0
3517par23_S118_L004_R2_001_fastq_gz	88.4782150659259	55.0	144.87098336235033	36.36363636363637	270531.0
3518par23_S120_L001_R1_001_fastq_gz	89.82935270436448	53.0	140.35138049981597	27.27272727272727	350489.0
3518par23_S120_L001_R2_001_fastq_gz	87.25666140734802	53.0	140.56072515827887	27.27272727272727	350489.0
