Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
3474par23_S108_L001_R2_001_fastq_gz	3474par23_S108_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	239046.0	34.1 Mbp	0.0	35-150	52.0	14.966575470829882	142.5412849409737	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3474par23_S108_L002_R1_001_fastq_gz	3474par23_S108_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	223840.0	31.9 Mbp	0.0	35-150	52.0	12.554503216583274	142.43231325947104	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3474par23_S108_L002_R2_001_fastq_gz	3474par23_S108_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	223840.0	31.9 Mbp	0.0	35-150	52.0	15.18674052894925	142.5805709435311	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3474par23_S108_L003_R1_001_fastq_gz	3474par23_S108_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	248132.0	35.4 Mbp	0.0	35-150	52.0	12.284590459916496	142.39356874566764	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3474par23_S108_L003_R2_001_fastq_gz	3474par23_S108_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	248132.0	35.4 Mbp	0.0	35-150	52.0	14.47173278738736	142.5318338626215	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3474par23_S108_L004_R1_001_fastq_gz	3474par23_S108_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	229262.0	32.7 Mbp	0.0	35-150	52.0	12.481353211609425	142.42360269037172	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3474par23_S108_L004_R2_001_fastq_gz	3474par23_S108_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	229262.0	32.7 Mbp	0.0	35-150	52.0	15.128106707609634	142.5766284861861	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3475par23_S109_L001_R1_001_fastq_gz	3475par23_S109_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	563775.0	81.5 Mbp	0.0	35-150	52.0	8.686976187308765	144.2189384062791	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3475par23_S109_L001_R2_001_fastq_gz	3475par23_S109_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	563775.0	81.5 Mbp	0.0	35-150	51.0	11.349385836548269	144.32054809099375	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3475par23_S109_L002_R1_001_fastq_gz	3475par23_S109_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	526939.0	76.2 Mbp	0.0	35-150	52.0	8.843148827473389	144.23962356174053	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
