Module	Section	Sample Name	Source
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3520par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_54/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3456par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_11/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3453par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_6/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3525par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_63/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3460par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_20/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3453par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_5/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3520par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_53/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3480par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_39/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3524par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_62/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3517par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_48/fastqc_data.txt
